epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4850.76,0.35651,0.3766,0.93625,0.96418,0.93422,0.96704,0.92723,0.25741,0.32253,0.65134,0.000133695,0.000133695,0.000133695
79,4913.26,0.35656,0.38282,0.93691,0.96846,0.93611,0.96781,0.92793,0.26006,0.31507,0.65094,0.000123596,0.000123596,0.000123596
80,4973.74,0.35443,0.37647,0.93209,0.95875,0.94117,0.96666,0.92765,0.26356,0.3263,0.65056,0.000113873,0.000113873,0.000113873
81,5033.53,0.35452,0.36756,0.936,0.96159,0.93572,0.96735,0.92995,0.25493,0.32315,0.65067,0.000104537,0.000104537,0.000104537
82,5094.74,0.3562,0.3742,0.93688,0.96152,0.93505,0.96658,0.9296,0.25154,0.32997,0.64525,9.55951e-05,9.55951e-05,9.55951e-05
83,5154.73,0.35359,0.37067,0.93288,0.96636,0.93257,0.96621,0.92803,0.25211,0.32349,0.64345,8.70577e-05,8.70577e-05,8.70577e-05
84,5215.37,0.35453,0.37191,0.9347,0.96003,0.93585,0.96569,0.92838,0.24779,0.32684,0.64383,7.89327e-05,7.89327e-05,7.89327e-05
85,5276.25,0.34851,0.3665,0.93266,0.96261,0.93788,0.96702,0.93037,0.24839,0.32155,0.64413,7.12282e-05,7.12282e-05,7.12282e-05
86,5337.31,0.35068,0.3642,0.93459,0.96598,0.93759,0.96702,0.93231,0.2467,0.32088,0.63978,6.39518e-05,6.39518e-05,6.39518e-05
87,5398.41,0.34469,0.35889,0.93072,0.97267,0.93104,0.96679,0.93075,0.24517,0.32055,0.63979,5.71106e-05,5.71106e-05,5.71106e-05
88,5460.22,0.34862,0.36983,0.93518,0.97086,0.92819,0.96433,0.93072,0.24402,0.31666,0.639,5.07115e-05,5.07115e-05,5.07115e-05
89,5520.77,0.34336,0.364,0.93099,0.96499,0.93674,0.96636,0.93131,0.24082,0.32444,0.63684,4.47606e-05,4.47606e-05,4.47606e-05
90,5581.24,0.34408,0.36609,0.9305,0.96366,0.93253,0.96565,0.93024,0.24327,0.32357,0.63848,3.9264e-05,3.9264e-05,3.9264e-05
91,5622.12,0.28346,0.39138,0.92797,0.96015,0.93563,0.96533,0.92148,0.2613,0.32372,0.64558,3.4227e-05,3.4227e-05,3.4227e-05
92,5660.51,0.26876,0.33551,0.92355,0.96503,0.93832,0.96631,0.92573,0.25786,0.31433,0.64529,2.96546e-05,2.96546e-05,2.96546e-05
93,5698.52,0.26221,0.32545,0.91666,0.96091,0.93997,0.96705,0.92956,0.25268,0.31122,0.64189,2.55513e-05,2.55513e-05,2.55513e-05
94,5734.19,0.26133,0.32721,0.91409,0.96611,0.92639,0.96678,0.9302,0.25431,0.31141,0.63982,2.19212e-05,2.19212e-05,2.19212e-05
95,5771.72,0.25747,0.32564,0.91605,0.95656,0.9384,0.96684,0.93076,0.24878,0.30681,0.63609,1.87678e-05,1.87678e-05,1.87678e-05
96,5809.18,0.25478,0.32415,0.91106,0.9561,0.94,0.96722,0.93184,0.24683,0.30627,0.63644,1.60943e-05,1.60943e-05,1.60943e-05
97,5845.57,0.25608,0.31983,0.91348,0.95587,0.94066,0.96736,0.93149,0.24678,0.30358,0.63624,1.39032e-05,1.39032e-05,1.39032e-05
98,5883.24,0.25534,0.31811,0.90845,0.95333,0.94335,0.96678,0.93148,0.24613,0.30287,0.63752,1.21968e-05,1.21968e-05,1.21968e-05
99,5920.95,0.25697,0.31954,0.91542,0.96783,0.94107,0.96859,0.93078,0.24488,0.30056,0.63701,1.09768e-05,1.09768e-05,1.09768e-05
100,5957.27,0.24872,0.3143,0.9068,0.95782,0.94133,0.96761,0.93257,0.2441,0.29637,0.63758,1.02443e-05,1.02443e-05,1.02443e-05
